"","Date","Precip.MM","MonthNumber","Month","Year","Season"
"467",1749-11-28,54.4,11,"Nov",1749,"Autumn"
"468",1749-12-28,55.3,12,"Dec",1749,"Winter"
"469",1750-01-28,73.9,1,"Jan",1750,"Winter"
"470",1750-02-28,96.2,2,"Feb",1750,"Winter"
"471",1750-03-28,69.9,3,"Mar",1750,"Spring"
"472",1750-04-28,44.6,4,"Apr",1750,"Spring"
"473",1750-05-28,22.3,5,"May",1750,"Spring"
"474",1750-06-28,96.2,6,"Jun",1750,"Summer"
"475",1750-07-28,99.3,7,"Jul",1750,"Summer"
"476",1750-08-28,140.8,8,"Aug",1750,"Summer"
"477",1750-09-28,71.9,9,"Sep",1750,"Autumn"
"478",1750-10-28,113.4,10,"Oct",1750,"Autumn"
"479",1750-11-28,107.4,11,"Nov",1750,"Autumn"
"480",1750-12-28,77,12,"Dec",1750,"Winter"
"481",1751-01-28,110,1,"Jan",1751,"Winter"
"482",1751-02-28,72.6,2,"Feb",1751,"Winter"
"483",1751-03-28,102,3,"Mar",1751,"Spring"
"484",1751-04-28,62.4,4,"Apr",1751,"Spring"
"485",1751-05-28,69.2,5,"May",1751,"Spring"
"486",1751-06-28,20.4,6,"Jun",1751,"Summer"
"487",1751-07-28,156.5,7,"Jul",1751,"Summer"
"488",1751-08-28,116.8,8,"Aug",1751,"Summer"
"489",1751-09-28,145.1,9,"Sep",1751,"Autumn"
"490",1751-10-28,94.1,10,"Oct",1751,"Autumn"
"491",1751-11-28,107.7,11,"Nov",1751,"Autumn"
"492",1751-12-28,77.1,12,"Dec",1751,"Winter"
"493",1752-01-28,123,1,"Jan",1752,"Winter"
"494",1752-02-28,51.8,2,"Feb",1752,"Winter"
"495",1752-03-28,48.5,3,"Mar",1752,"Spring"
"496",1752-04-28,27,4,"Apr",1752,"Spring"
"497",1752-05-28,117.6,5,"May",1752,"Spring"
"498",1752-06-28,96,6,"Jun",1752,"Summer"
"499",1752-07-28,156.4,7,"Jul",1752,"Summer"
"500",1752-08-28,141.3,8,"Aug",1752,"Summer"
"501",1752-09-28,111.1,9,"Sep",1752,"Autumn"
"502",1752-10-28,70.1,10,"Oct",1752,"Autumn"
"503",1752-11-28,80.9,11,"Nov",1752,"Autumn"
"504",1752-12-28,55,12,"Dec",1752,"Winter"
"505",1753-01-28,109.9,1,"Jan",1753,"Winter"
"506",1753-02-28,126.4,2,"Feb",1753,"Winter"
"507",1753-03-28,102.2,3,"Mar",1753,"Spring"
"508",1753-04-28,62.7,4,"Apr",1753,"Spring"
"509",1753-05-28,98.9,5,"May",1753,"Spring"
"510",1753-06-28,83.5,6,"Jun",1753,"Summer"
"511",1753-07-28,98.9,7,"Jul",1753,"Summer"
"512",1753-08-28,116.5,8,"Aug",1753,"Summer"
"513",1753-09-28,55,9,"Sep",1753,"Autumn"
"514",1753-10-28,70.4,10,"Oct",1753,"Autumn"
"515",1753-11-28,55,11,"Nov",1753,"Autumn"
"516",1753-12-28,119.8,12,"Dec",1753,"Winter"
"517",1754-01-28,149.2,1,"Jan",1754,"Winter"
"518",1754-02-28,73,2,"Feb",1754,"Winter"
"519",1754-03-28,69.9,3,"Mar",1754,"Spring"
"520",1754-04-28,61.5,4,"Apr",1754,"Spring"
"521",1754-05-28,69.9,5,"May",1754,"Spring"
"522",1754-06-28,160.6,6,"Jun",1754,"Summer"
"523",1754-07-28,99.1,7,"Jul",1754,"Summer"
"524",1754-08-28,81.4,8,"Aug",1754,"Summer"
"525",1754-09-28,54.2,9,"Sep",1754,"Autumn"
"526",1754-10-28,70.9,10,"Oct",1754,"Autumn"
"527",1754-11-28,54.2,11,"Nov",1754,"Autumn"
"528",1754-12-28,99.1,12,"Dec",1754,"Winter"
"529",1755-01-28,34.8,1,"Jan",1755,"Winter"
"530",1755-02-28,38.4,2,"Feb",1755,"Winter"
"531",1755-03-28,108,3,"Mar",1755,"Spring"
"532",1755-04-28,128.4,4,"Apr",1755,"Spring"
"533",1755-05-28,99.6,5,"May",1755,"Spring"
"534",1755-06-28,96,6,"Jun",1755,"Summer"
"535",1755-07-28,127.2,7,"Jul",1755,"Summer"
"536",1755-08-28,100.8,8,"Aug",1755,"Summer"
"537",1755-09-28,145.2,9,"Sep",1755,"Autumn"
"538",1755-10-28,70.8,10,"Oct",1755,"Autumn"
"539",1755-11-28,130.8,11,"Nov",1755,"Autumn"
"540",1755-12-28,120,12,"Dec",1755,"Winter"
"541",1756-01-28,149,1,"Jan",1756,"Winter"
"542",1756-02-28,72.6,2,"Feb",1756,"Winter"
"543",1756-03-28,68.7,3,"Mar",1756,"Spring"
"544",1756-04-28,152.9,4,"Apr",1756,"Spring"
"545",1756-05-28,117.9,5,"May",1756,"Spring"
"546",1756-06-28,140,6,"Jun",1756,"Summer"
"547",1756-07-28,99.8,7,"Jul",1756,"Summer"
"548",1756-08-28,141.3,8,"Aug",1756,"Summer"
"549",1756-09-28,92,9,"Sep",1756,"Autumn"
"550",1756-10-28,151.6,10,"Oct",1756,"Autumn"
"551",1756-11-28,54.4,11,"Nov",1756,"Autumn"
"552",1756-12-28,55.7,12,"Dec",1756,"Winter"
"553",1757-01-28,73.4,1,"Jan",1757,"Winter"
"554",1757-02-28,39.3,2,"Feb",1757,"Winter"
"555",1757-03-28,98.2,3,"Mar",1757,"Spring"
"556",1757-04-28,113.7,4,"Apr",1757,"Spring"
"557",1757-05-28,77.5,5,"May",1757,"Spring"
"558",1757-06-28,46.5,6,"Jun",1757,"Summer"
"559",1757-07-28,107.5,7,"Jul",1757,"Summer"
"560",1757-08-28,173.6,8,"Aug",1757,"Summer"
"561",1757-09-28,39.3,9,"Sep",1757,"Autumn"
"562",1757-10-28,74.4,10,"Oct",1757,"Autumn"
"563",1757-11-28,114.7,11,"Nov",1757,"Autumn"
"564",1757-12-28,75.4,12,"Dec",1757,"Winter"
"565",1758-01-28,69.4,1,"Jan",1758,"Winter"
"566",1758-02-28,103.5,2,"Feb",1758,"Winter"
"567",1758-03-28,81.5,3,"Mar",1758,"Spring"
"568",1758-04-28,59.5,4,"Apr",1758,"Spring"
"569",1758-05-28,52.9,5,"May",1758,"Spring"
"570",1758-06-28,54,6,"Jun",1758,"Summer"
"571",1758-07-28,186.1,7,"Jul",1758,"Summer"
"572",1758-08-28,110.1,8,"Aug",1758,"Summer"
"573",1758-09-28,69.4,9,"Sep",1758,"Autumn"
"574",1758-10-28,85.9,10,"Oct",1758,"Autumn"
"575",1758-11-28,99.1,11,"Nov",1758,"Autumn"
"576",1758-12-28,130,12,"Dec",1758,"Winter"
"577",1759-01-28,75.9,1,"Jan",1759,"Winter"
"578",1759-02-28,28.6,2,"Feb",1759,"Winter"
"579",1759-03-28,110.7,3,"Mar",1759,"Spring"
"580",1759-04-28,65.2,4,"Apr",1759,"Spring"
"581",1759-05-28,52.7,5,"May",1759,"Spring"
"582",1759-06-28,102.7,6,"Jun",1759,"Summer"
"583",1759-07-28,45.5,7,"Jul",1759,"Summer"
"584",1759-08-28,80.4,8,"Aug",1759,"Summer"
"585",1759-09-28,75,9,"Sep",1759,"Autumn"
"586",1759-10-28,124.1,10,"Oct",1759,"Autumn"
"587",1759-11-28,71.4,11,"Nov",1759,"Autumn"
"588",1759-12-28,60.7,12,"Dec",1759,"Winter"
"589",1760-01-28,101.4,1,"Jan",1760,"Winter"
"590",1760-02-28,97.9,2,"Feb",1760,"Winter"
"591",1760-03-28,25.3,3,"Mar",1760,"Spring"
"592",1760-04-28,33.4,4,"Apr",1760,"Spring"
"593",1760-05-28,56.5,5,"May",1760,"Spring"
"594",1760-06-28,109.5,6,"Jun",1760,"Summer"
"595",1760-07-28,41.5,7,"Jul",1760,"Summer"
"596",1760-08-28,112.9,8,"Aug",1760,"Summer"
"597",1760-09-28,121,9,"Sep",1760,"Autumn"
"598",1760-10-28,169.4,10,"Oct",1760,"Autumn"
"599",1760-11-28,148.6,11,"Nov",1760,"Autumn"
"600",1760-12-28,134.8,12,"Dec",1760,"Winter"
"601",1761-01-28,26,1,"Jan",1761,"Winter"
"602",1761-02-28,83.9,2,"Feb",1761,"Winter"
"603",1761-03-28,72.9,3,"Mar",1761,"Spring"
"604",1761-04-28,66.9,4,"Apr",1761,"Spring"
"605",1761-05-28,69.9,5,"May",1761,"Spring"
"606",1761-06-28,81.9,6,"Jun",1761,"Summer"
"607",1761-07-28,49.9,7,"Jul",1761,"Summer"
"608",1761-08-28,88.9,8,"Aug",1761,"Summer"
"609",1761-09-28,80.9,9,"Sep",1761,"Autumn"
"610",1761-10-28,163.8,10,"Oct",1761,"Autumn"
"611",1761-11-28,124.8,11,"Nov",1761,"Autumn"
"612",1761-12-28,88.9,12,"Dec",1761,"Winter"
"613",1762-01-28,82.1,1,"Jan",1762,"Winter"
"614",1762-02-28,46.8,2,"Feb",1762,"Winter"
"615",1762-03-28,87.4,3,"Mar",1762,"Spring"
"616",1762-04-28,52.1,4,"Apr",1762,"Spring"
"617",1762-05-28,30,5,"May",1762,"Spring"
"618",1762-06-28,26.5,6,"Jun",1762,"Summer"
"619",1762-07-28,54.8,7,"Jul",1762,"Summer"
"620",1762-08-28,103.3,8,"Aug",1762,"Summer"
"621",1762-09-28,89.2,9,"Sep",1762,"Autumn"
"622",1762-10-28,200.5,10,"Oct",1762,"Autumn"
"623",1762-11-28,75.9,11,"Nov",1762,"Autumn"
"624",1762-12-28,34.4,12,"Dec",1762,"Winter"
"625",1763-01-28,49.1,1,"Jan",1763,"Winter"
"626",1763-02-28,99.4,2,"Feb",1763,"Winter"
"627",1763-03-28,47.8,3,"Mar",1763,"Spring"
"628",1763-04-28,96.9,4,"Apr",1763,"Spring"
"629",1763-05-28,56.4,5,"May",1763,"Spring"
"630",1763-06-28,110.4,6,"Jun",1763,"Summer"
"631",1763-07-28,168.1,7,"Jul",1763,"Summer"
"632",1763-08-28,128.8,8,"Aug",1763,"Summer"
"633",1763-09-28,89.6,9,"Sep",1763,"Autumn"
"634",1763-10-28,110.4,10,"Oct",1763,"Autumn"
"635",1763-11-28,68.7,11,"Nov",1763,"Autumn"
"636",1763-12-28,201.2,12,"Dec",1763,"Winter"
"637",1764-01-28,188.4,1,"Jan",1764,"Winter"
"638",1764-02-28,106.9,2,"Feb",1764,"Winter"
"639",1764-03-28,51.7,3,"Mar",1764,"Spring"
"640",1764-04-28,49.4,4,"Apr",1764,"Spring"
"641",1764-05-28,56.3,5,"May",1764,"Spring"
"642",1764-06-28,77,6,"Jun",1764,"Summer"
"643",1764-07-28,137.9,7,"Jul",1764,"Summer"
"644",1764-08-28,104.6,8,"Aug",1764,"Summer"
"645",1764-09-28,88.5,9,"Sep",1764,"Autumn"
"646",1764-10-28,103.4,10,"Oct",1764,"Autumn"
"647",1764-11-28,105.7,11,"Nov",1764,"Autumn"
"648",1764-12-28,79.3,12,"Dec",1764,"Winter"
"649",1765-01-28,125.3,1,"Jan",1765,"Winter"
"650",1765-02-28,58.8,2,"Feb",1765,"Winter"
"651",1765-03-28,107,3,"Mar",1765,"Spring"
"652",1765-04-28,118.6,4,"Apr",1765,"Spring"
"653",1765-05-28,23.1,5,"May",1765,"Spring"
"654",1765-06-28,44.4,6,"Jun",1765,"Summer"
"655",1765-07-28,27,7,"Jul",1765,"Summer"
"656",1765-08-28,97.4,8,"Aug",1765,"Summer"
"657",1765-09-28,75.2,9,"Sep",1765,"Autumn"
"658",1765-10-28,168.7,10,"Oct",1765,"Autumn"
"659",1765-11-28,64.6,11,"Nov",1765,"Autumn"
"660",1765-12-28,54,12,"Dec",1765,"Winter"
"661",1766-01-28,7.2,1,"Jan",1766,"Winter"
"662",1766-02-28,75,2,"Feb",1766,"Winter"
"663",1766-03-28,25.3,3,"Mar",1766,"Spring"
"664",1766-04-28,79.5,4,"Apr",1766,"Spring"
"665",1766-05-28,132.8,5,"May",1766,"Spring"
"666",1766-06-28,127.4,6,"Jun",1766,"Summer"
"667",1766-07-28,85.8,7,"Jul",1766,"Summer"
"668",1766-08-28,56,8,"Aug",1766,"Summer"
"669",1766-09-28,90.4,9,"Sep",1766,"Autumn"
"670",1766-10-28,101.2,10,"Oct",1766,"Autumn"
"671",1766-11-28,62.3,11,"Nov",1766,"Autumn"
"672",1766-12-28,60.5,12,"Dec",1766,"Winter"
"673",1767-01-28,29.8,1,"Jan",1767,"Winter"
"674",1767-02-28,116,2,"Feb",1767,"Winter"
"675",1767-03-28,96.9,3,"Mar",1767,"Spring"
"676",1767-04-28,22.4,4,"Apr",1767,"Spring"
"677",1767-05-28,140.5,5,"May",1767,"Spring"
"678",1767-06-28,17,6,"Jun",1767,"Summer"
"679",1767-07-28,191.6,7,"Jul",1767,"Summer"
"680",1767-08-28,102.2,8,"Aug",1767,"Summer"
"681",1767-09-28,91.6,9,"Sep",1767,"Autumn"
"682",1767-10-28,63.9,10,"Oct",1767,"Autumn"
"683",1767-11-28,136.3,11,"Nov",1767,"Autumn"
"684",1767-12-28,56.4,12,"Dec",1767,"Winter"
"685",1768-01-28,67.6,1,"Jan",1768,"Winter"
"686",1768-02-28,192.8,2,"Feb",1768,"Winter"
"687",1768-03-28,39.4,3,"Mar",1768,"Spring"
"688",1768-04-28,83,4,"Apr",1768,"Spring"
"689",1768-05-28,53.5,5,"May",1768,"Spring"
"690",1768-06-28,187.2,6,"Jun",1768,"Summer"
"691",1768-07-28,161.8,7,"Jul",1768,"Summer"
"692",1768-08-28,81.6,8,"Aug",1768,"Summer"
"693",1768-09-28,159,9,"Sep",1768,"Autumn"
"694",1768-10-28,105.5,10,"Oct",1768,"Autumn"
"695",1768-11-28,164.7,11,"Nov",1768,"Autumn"
"696",1768-12-28,111.2,12,"Dec",1768,"Winter"
"697",1769-01-28,55.6,1,"Jan",1769,"Winter"
"698",1769-02-28,71.8,2,"Feb",1769,"Winter"
"699",1769-03-28,36.4,3,"Mar",1769,"Spring"
"700",1769-04-28,46.5,4,"Apr",1769,"Spring"
"701",1769-05-28,53.6,5,"May",1769,"Spring"
"702",1769-06-28,145.7,6,"Jun",1769,"Summer"
"703",1769-07-28,76.9,7,"Jul",1769,"Summer"
"704",1769-08-28,137.6,8,"Aug",1769,"Summer"
"705",1769-09-28,181.1,9,"Sep",1769,"Autumn"
"706",1769-10-28,53.6,10,"Oct",1769,"Autumn"
"707",1769-11-28,72.8,11,"Nov",1769,"Autumn"
"708",1769-12-28,79.9,12,"Dec",1769,"Winter"
"709",1770-01-28,43.2,1,"Jan",1770,"Winter"
"710",1770-02-28,50.2,2,"Feb",1770,"Winter"
"711",1770-03-28,74.8,3,"Mar",1770,"Spring"
"712",1770-04-28,70.1,4,"Apr",1770,"Spring"
"713",1770-05-28,61.9,5,"May",1770,"Spring"
"714",1770-06-28,149.6,6,"Jun",1770,"Summer"
"715",1770-07-28,81.8,7,"Jul",1770,"Summer"
"716",1770-08-28,65.4,8,"Aug",1770,"Summer"
"717",1770-09-28,113.3,9,"Sep",1770,"Autumn"
"718",1770-10-28,93.5,10,"Oct",1770,"Autumn"
"719",1770-11-28,224.3,11,"Nov",1770,"Autumn"
"720",1770-12-28,140.2,12,"Dec",1770,"Winter"
"721",1771-01-28,65.6,1,"Jan",1771,"Winter"
"722",1771-02-28,32.3,2,"Feb",1771,"Winter"
"723",1771-03-28,35,3,"Mar",1771,"Spring"
"724",1771-04-28,39.5,4,"Apr",1771,"Spring"
"725",1771-05-28,53,5,"May",1771,"Spring"
"726",1771-06-28,53,6,"Jun",1771,"Summer"
"727",1771-07-28,83.5,7,"Jul",1771,"Summer"
"728",1771-08-28,122.2,8,"Aug",1771,"Summer"
"729",1771-09-28,62,9,"Sep",1771,"Autumn"
"730",1771-10-28,185,10,"Oct",1771,"Autumn"
"731",1771-11-28,74.6,11,"Nov",1771,"Autumn"
"732",1771-12-28,92.5,12,"Dec",1771,"Winter"
"733",1772-01-28,82.4,1,"Jan",1772,"Winter"
"734",1772-02-28,85.9,2,"Feb",1772,"Winter"
"735",1772-03-28,80.1,3,"Mar",1772,"Spring"
"736",1772-04-28,44.1,4,"Apr",1772,"Spring"
"737",1772-05-28,73.1,5,"May",1772,"Spring"
"738",1772-06-28,116.1,6,"Jun",1772,"Summer"
"739",1772-07-28,74.3,7,"Jul",1772,"Summer"
"740",1772-08-28,104.5,8,"Aug",1772,"Summer"
"741",1772-09-28,171.8,9,"Sep",1772,"Autumn"
"742",1772-10-28,114.9,10,"Oct",1772,"Autumn"
"743",1772-11-28,159,11,"Nov",1772,"Autumn"
"744",1772-12-28,54.6,12,"Dec",1772,"Winter"
"745",1773-01-28,96.7,1,"Jan",1773,"Winter"
"746",1773-02-28,63.2,2,"Feb",1773,"Winter"
"747",1773-03-28,27.4,3,"Mar",1773,"Spring"
"748",1773-04-28,69.2,4,"Apr",1773,"Spring"
"749",1773-05-28,149.2,5,"May",1773,"Spring"
"750",1773-06-28,50.1,6,"Jun",1773,"Summer"
"751",1773-07-28,46.5,7,"Jul",1773,"Summer"
"752",1773-08-28,83.5,8,"Aug",1773,"Summer"
"753",1773-09-28,196.9,9,"Sep",1773,"Autumn"
"754",1773-10-28,149.2,10,"Oct",1773,"Autumn"
"755",1773-11-28,142,11,"Nov",1773,"Autumn"
"756",1773-12-28,119.3,12,"Dec",1773,"Winter"
"757",1774-01-28,110.3,1,"Jan",1774,"Winter"
"758",1774-02-28,85.7,2,"Feb",1774,"Winter"
"759",1774-03-28,43.3,3,"Mar",1774,"Spring"
"760",1774-04-28,65,4,"Apr",1774,"Spring"
"761",1774-05-28,74.8,5,"May",1774,"Spring"
"762",1774-06-28,90.6,6,"Jun",1774,"Summer"
"763",1774-07-28,104.4,7,"Jul",1774,"Summer"
"764",1774-08-28,88.6,8,"Aug",1774,"Summer"
"765",1774-09-28,151.6,9,"Sep",1774,"Autumn"
"766",1774-10-28,40.4,10,"Oct",1774,"Autumn"
"767",1774-11-28,61,11,"Nov",1774,"Autumn"
"768",1774-12-28,68.9,12,"Dec",1774,"Winter"
"769",1775-01-28,94.9,1,"Jan",1775,"Winter"
"770",1775-02-28,123.6,2,"Feb",1775,"Winter"
"771",1775-03-28,74.9,3,"Mar",1775,"Spring"
"772",1775-04-28,35,4,"Apr",1775,"Spring"
"773",1775-05-28,33.7,5,"May",1775,"Spring"
"774",1775-06-28,48.7,6,"Jun",1775,"Summer"
"775",1775-07-28,171,7,"Jul",1775,"Summer"
"776",1775-08-28,159.8,8,"Aug",1775,"Summer"
"777",1775-09-28,147.3,9,"Sep",1775,"Autumn"
"778",1775-10-28,177.3,10,"Oct",1775,"Autumn"
"779",1775-11-28,114.9,11,"Nov",1775,"Autumn"
"780",1775-12-28,68.7,12,"Dec",1775,"Winter"
"781",1776-01-28,47.7,1,"Jan",1776,"Winter"
"782",1776-02-28,116.1,2,"Feb",1776,"Winter"
"783",1776-03-28,48.7,3,"Mar",1776,"Spring"
"784",1776-04-28,31.1,4,"Apr",1776,"Spring"
"785",1776-05-28,41.5,5,"May",1776,"Spring"
"786",1776-06-28,96.4,6,"Jun",1776,"Summer"
"787",1776-07-28,129.6,7,"Jul",1776,"Summer"
"788",1776-08-28,152.4,8,"Aug",1776,"Summer"
"789",1776-09-28,143,9,"Sep",1776,"Autumn"
"790",1776-10-28,69.4,10,"Oct",1776,"Autumn"
"791",1776-11-28,94.3,11,"Nov",1776,"Autumn"
"792",1776-12-28,66.3,12,"Dec",1776,"Winter"
"793",1777-01-28,46.4,1,"Jan",1777,"Winter"
"794",1777-02-28,61.9,2,"Feb",1777,"Winter"
"795",1777-03-28,67,3,"Mar",1777,"Spring"
"796",1777-04-28,76.3,4,"Apr",1777,"Spring"
"797",1777-05-28,68.1,5,"May",1777,"Spring"
"798",1777-06-28,112.4,6,"Jun",1777,"Summer"
"799",1777-07-28,111.4,7,"Jul",1777,"Summer"
"800",1777-08-28,106.2,8,"Aug",1777,"Summer"
"801",1777-09-28,51.6,9,"Sep",1777,"Autumn"
"802",1777-10-28,175.3,10,"Oct",1777,"Autumn"
"803",1777-11-28,104.1,11,"Nov",1777,"Autumn"
"804",1777-12-28,50.5,12,"Dec",1777,"Winter"
"805",1778-01-28,80.4,1,"Jan",1778,"Winter"
"806",1778-02-28,40.8,2,"Feb",1778,"Winter"
"807",1778-03-28,73.2,3,"Mar",1778,"Spring"
"808",1778-04-28,39.6,4,"Apr",1778,"Spring"
"809",1778-05-28,97.2,5,"May",1778,"Spring"
"810",1778-06-28,97.2,6,"Jun",1778,"Summer"
"811",1778-07-28,175.2,7,"Jul",1778,"Summer"
"812",1778-08-28,50.4,8,"Aug",1778,"Summer"
"813",1778-09-28,79.2,9,"Sep",1778,"Autumn"
"814",1778-10-28,181.2,10,"Oct",1778,"Autumn"
"815",1778-11-28,132,11,"Nov",1778,"Autumn"
"816",1778-12-28,153.6,12,"Dec",1778,"Winter"
"817",1779-01-28,19.9,1,"Jan",1779,"Winter"
"818",1779-02-28,34.6,2,"Feb",1779,"Winter"
"819",1779-03-28,25.2,3,"Mar",1779,"Spring"
"820",1779-04-28,71.3,4,"Apr",1779,"Spring"
"821",1779-05-28,82.8,5,"May",1779,"Spring"
"822",1779-06-28,83.9,6,"Jun",1779,"Summer"
"823",1779-07-28,161.5,7,"Jul",1779,"Summer"
"824",1779-08-28,36.7,8,"Aug",1779,"Summer"
"825",1779-09-28,151,9,"Sep",1779,"Autumn"
"826",1779-10-28,145.7,10,"Oct",1779,"Autumn"
"827",1779-11-28,88.1,11,"Nov",1779,"Autumn"
"828",1779-12-28,147.8,12,"Dec",1779,"Winter"
"829",1780-01-28,34.5,1,"Jan",1780,"Winter"
"830",1780-02-28,79.6,2,"Feb",1780,"Winter"
"831",1780-03-28,61.9,3,"Mar",1780,"Spring"
"832",1780-04-28,97.3,4,"Apr",1780,"Spring"
"833",1780-05-28,68.1,5,"May",1780,"Spring"
"834",1780-06-28,53,6,"Jun",1780,"Summer"
"835",1780-07-28,68.1,7,"Jul",1780,"Summer"
"836",1780-08-28,30.9,8,"Aug",1780,"Summer"
"837",1780-09-28,157.4,9,"Sep",1780,"Autumn"
"838",1780-10-28,139.7,10,"Oct",1780,"Autumn"
"839",1780-11-28,85.8,11,"Nov",1780,"Autumn"
"840",1780-12-28,16.8,12,"Dec",1780,"Winter"
"841",1781-01-28,58.5,1,"Jan",1781,"Winter"
"842",1781-02-28,106.3,2,"Feb",1781,"Winter"
"843",1781-03-28,16.6,3,"Mar",1781,"Spring"
"844",1781-04-28,67.3,4,"Apr",1781,"Spring"
"845",1781-05-28,58.5,5,"May",1781,"Spring"
"846",1781-06-28,105.3,6,"Jun",1781,"Summer"
"847",1781-07-28,70.2,7,"Jul",1781,"Summer"
"848",1781-08-28,131.6,8,"Aug",1781,"Summer"
"849",1781-09-28,99.4,9,"Sep",1781,"Autumn"
"850",1781-10-28,23.4,10,"Oct",1781,"Autumn"
"851",1781-11-28,163.8,11,"Nov",1781,"Autumn"
"852",1781-12-28,74.1,12,"Dec",1781,"Winter"
"853",1782-01-28,115.7,1,"Jan",1782,"Winter"
"854",1782-02-28,29.2,2,"Feb",1782,"Winter"
"855",1782-03-28,78,3,"Mar",1782,"Spring"
"856",1782-04-28,136.4,4,"Apr",1782,"Spring"
"857",1782-05-28,142.5,5,"May",1782,"Spring"
"858",1782-06-28,59.7,6,"Jun",1782,"Summer"
"859",1782-07-28,86.5,7,"Jul",1782,"Summer"
"860",1782-08-28,193.7,8,"Aug",1782,"Summer"
"861",1782-09-28,148.6,9,"Sep",1782,"Autumn"
"862",1782-10-28,113.3,10,"Oct",1782,"Autumn"
"863",1782-11-28,57.3,11,"Nov",1782,"Autumn"
"864",1782-12-28,57.3,12,"Dec",1782,"Winter"
"865",1783-01-28,105.4,1,"Jan",1783,"Winter"
"866",1783-02-28,86.9,2,"Feb",1783,"Winter"
"867",1783-03-28,57.6,3,"Mar",1783,"Spring"
"868",1783-04-28,16.3,4,"Apr",1783,"Spring"
"869",1783-05-28,113,5,"May",1783,"Spring"
"870",1783-06-28,106.5,6,"Jun",1783,"Summer"
"871",1783-07-28,94.5,7,"Jul",1783,"Summer"
"872",1783-08-28,141.2,8,"Aug",1783,"Summer"
"873",1783-09-28,148.8,9,"Sep",1783,"Autumn"
"874",1783-10-28,89.1,10,"Oct",1783,"Autumn"
"875",1783-11-28,89.1,11,"Nov",1783,"Autumn"
"876",1783-12-28,38,12,"Dec",1783,"Winter"
"877",1784-01-28,80.7,1,"Jan",1784,"Winter"
"878",1784-02-28,48.8,2,"Feb",1784,"Winter"
"879",1784-03-28,54.4,3,"Mar",1784,"Spring"
"880",1784-04-28,87.3,4,"Apr",1784,"Spring"
"881",1784-05-28,74.1,5,"May",1784,"Spring"
"882",1784-06-28,144.5,6,"Jun",1784,"Summer"
"883",1784-07-28,109.8,7,"Jul",1784,"Summer"
"884",1784-08-28,111.6,8,"Aug",1784,"Summer"
"885",1784-09-28,59.1,9,"Sep",1784,"Autumn"
"886",1784-10-28,17.8,10,"Oct",1784,"Autumn"
"887",1784-11-28,89.1,11,"Nov",1784,"Autumn"
"888",1784-12-28,61,12,"Dec",1784,"Winter"
"889",1785-01-28,64.9,1,"Jan",1785,"Winter"
"890",1785-02-28,21.6,2,"Feb",1785,"Winter"
"891",1785-03-28,17.1,3,"Mar",1785,"Spring"
"892",1785-04-28,23.4,4,"Apr",1785,"Spring"
"893",1785-05-28,36.1,5,"May",1785,"Spring"
"894",1785-06-28,43.3,6,"Jun",1785,"Summer"
"895",1785-07-28,77.5,7,"Jul",1785,"Summer"
"896",1785-08-28,196.5,8,"Aug",1785,"Summer"
"897",1785-09-28,126.2,9,"Sep",1785,"Autumn"
"898",1785-10-28,123.5,10,"Oct",1785,"Autumn"
"899",1785-11-28,102.8,11,"Nov",1785,"Autumn"
"900",1785-12-28,68.5,12,"Dec",1785,"Winter"
"901",1786-01-28,90.1,1,"Jan",1786,"Winter"
"902",1786-02-28,32,2,"Feb",1786,"Winter"
"903",1786-03-28,35.8,3,"Mar",1786,"Spring"
"904",1786-04-28,25.2,4,"Apr",1786,"Spring"
"905",1786-05-28,83.3,5,"May",1786,"Spring"
"906",1786-06-28,70.7,6,"Jun",1786,"Summer"
"907",1786-07-28,63.9,7,"Jul",1786,"Summer"
"908",1786-08-28,130.7,8,"Aug",1786,"Summer"
"909",1786-09-28,176.3,9,"Sep",1786,"Autumn"
"910",1786-10-28,73.6,10,"Oct",1786,"Autumn"
"911",1786-11-28,83.3,11,"Nov",1786,"Autumn"
"912",1786-12-28,103.6,12,"Dec",1786,"Winter"
"913",1787-01-28,25.8,1,"Jan",1787,"Winter"
"914",1787-02-28,73.9,2,"Feb",1787,"Winter"
"915",1787-03-28,82.9,3,"Mar",1787,"Spring"
"916",1787-04-28,43.7,4,"Apr",1787,"Spring"
"917",1787-05-28,51.5,5,"May",1787,"Spring"
"918",1787-06-28,69.4,6,"Jun",1787,"Summer"
"919",1787-07-28,171.3,7,"Jul",1787,"Summer"
"920",1787-08-28,105.3,8,"Aug",1787,"Summer"
"921",1787-09-28,52.6,9,"Sep",1787,"Autumn"
"922",1787-10-28,211.6,10,"Oct",1787,"Autumn"
"923",1787-11-28,108.6,11,"Nov",1787,"Autumn"
"924",1787-12-28,123.2,12,"Dec",1787,"Winter"
"925",1788-01-28,67.6,1,"Jan",1788,"Winter"
"926",1788-02-28,64.1,2,"Feb",1788,"Winter"
"927",1788-03-28,57.2,3,"Mar",1788,"Spring"
"928",1788-04-28,51.6,4,"Apr",1788,"Spring"
"929",1788-05-28,36.9,5,"May",1788,"Spring"
"930",1788-06-28,44.6,6,"Jun",1788,"Summer"
"931",1788-07-28,115.7,7,"Jul",1788,"Summer"
"932",1788-08-28,68.3,8,"Aug",1788,"Summer"
"933",1788-09-28,77.4,9,"Sep",1788,"Autumn"
"934",1788-10-28,53,10,"Oct",1788,"Autumn"
